"id","avg"
"0","0.78"
"1","0.78"
"2","0.78"
"3","0.78"
"4","0.79"
"5","0.78"
"6","0.79"
"7","0.78"
"8","0.78"
"9","0.79"
"10","0.78"
"11","0.79"
"12","0.79"
"13","0.78"
"14","0.78"
"15","0.78"
"16","0.78"
"17","0.78"
"18","0.78"
"19","0.79"
"20","0.78"
"21","0.78"
"22","0.79"
"23","0.78"
"24","0.79"
"25","0.78"
"26","0.78"
"27","0.78"
"28","0.78"
"29","0.78"
"30","0.78"
"31","0.73"
"32","0.79"
"33","0.78"
"34","0.78"
"35","0.78"
"36","0.78"
"37","0.78"
"38","0.78"
"39","0.78"
"40","0.74"
"41","0.78"
"42","0.78"
"43","0.78"
"44","0.79"
"45","0.78"
"46","0.78"
"47","0.78"
"48","0.78"
"49","0.78"
