"id","avg"
"0","2.22"
"1","2.20"
"2","2.36"
"3","2.17"
"4","2.31"
"5","2.23"
"6","2.57"
"7","2.11"
"8","2.35"
"9","2.28"
"10","2.23"
"11","2.37"
"12","2.28"
"13","2.19"
"14","2.14"
"15","2.28"
"16","2.25"
"17","2.31"
"18","2.16"
"19","2.24"
"20","2.20"
"21","2.61"
"22","2.00"
"23","2.26"
"24","2.18"
"25","2.28"
"26","2.37"
"27","2.07"
"28","2.29"
"29","2.30"
"30","2.37"
"31","2.31"
"32","2.36"
"33","2.29"
"34","2.31"
"35","2.20"
"36","2.34"
"37","2.45"
"38","2.31"
"39","2.39"
"40","2.52"
"41","2.20"
"42","2.23"
"43","2.34"
"44","2.13"
"45","2.26"
"46","2.28"
"47","2.28"
"48","2.14"
"49","2.68"
"50","2.18"
"51","2.12"
"52","2.73"
"53","2.63"
"54","2.24"
"55","2.26"
"56","2.30"
"57","2.32"
"58","2.14"
"59","2.33"
"60","2.28"
"61","2.20"
"62","2.32"
"63","2.18"
"64","2.38"
"65","2.31"
"66","2.35"
"67","2.24"
"68","2.29"
"69","2.30"
"70","2.33"
"71","2.40"
"72","2.31"
"73","2.26"
"74","2.25"
"75","2.38"
"76","2.61"
"77","2.39"
"78","2.23"
"79","2.37"
"80","2.18"
"81","2.36"
"82","2.24"
"83","2.35"
"84","2.13"
"85","2.32"
"86","2.63"
"87","2.67"
"88","2.15"
"89","2.41"
"90","2.24"
"91","2.37"
"92","2.24"
"93","2.34"
"94","2.20"
"95","2.38"
"96","2.39"
"97","2.31"
"98","2.23"
"99","2.26"
"100","2.28"
"101","2.45"
"102","2.33"
"103","2.33"
"104","2.30"
"105","2.27"
"106","2.19"
"107","2.32"
"108","2.30"
"109","2.34"
"110","2.68"
"111","2.41"
"112","2.56"
"113","2.27"
"114","2.38"
"115","2.14"
"116","2.28"
"117","2.24"
"118","2.80"
"119","2.30"
"120","2.65"
"121","2.26"
"122","2.39"
"123","2.33"
"124","2.85"
"125","2.31"
"126","2.56"
"127","2.72"
"128","2.22"
"129","2.31"
"130","2.25"
"131","2.22"
"132","2.34"
"133","2.62"
"134","2.64"
"135","2.33"
"136","2.33"
"137","2.14"
"138","2.29"
"139","2.30"
"140","2.28"
"141","2.39"
"142","2.27"
"143","2.35"
"144","2.36"
"145","2.24"
"146","2.35"
"147","2.23"
"148","2.63"
"149","2.12"
"150","2.38"
"151","2.37"
"152","2.35"
"153","2.70"
"154","2.30"
"155","2.69"
"156","2.25"
"157","2.33"
"158","2.33"
"159","2.38"
"160","2.64"
"161","2.11"
"162","2.31"
"163","2.35"
"164","2.32"
"165","2.37"
"166","2.24"
"167","2.58"
"168","2.30"
"169","2.22"
"170","2.64"
"171","2.51"
"172","2.48"
"173","2.31"
"174","2.24"
"175","2.28"
"176","2.33"
"177","2.38"
"178","2.29"
"179","2.36"
"180","2.44"
"181","2.22"
"182","2.30"
"183","2.59"
"184","2.43"
"185","2.24"
"186","2.27"
"187","2.29"
"188","2.61"
"189","2.33"
"190","2.39"
"191","2.20"
"192","2.70"
"193","2.10"
"194","2.46"
"195","2.19"
"196","2.12"
"197","2.24"
"198","2.19"
"199","2.42"
"200","2.22"
"201","2.29"
"202","2.28"
"203","2.36"
"204","2.09"
"205","2.42"
"206","2.34"
"207","2.24"
"208","2.14"
"209","2.20"
"210","2.19"
"211","2.23"
"212","2.26"
"213","2.64"
"214","2.37"
"215","2.32"
"216","2.28"
"217","2.26"
"218","2.33"
"219","2.24"
"220","2.29"
"221","2.15"
"222","2.38"
"223","2.36"
"224","2.33"
"225","2.57"
"226","2.60"
"227","2.35"
"228","2.29"
"229","2.34"
"230","2.28"
"231","2.36"
"232","2.25"
"233","2.37"
"234","2.74"
"235","2.22"
"236","2.30"
"237","2.24"
"238","2.34"
"239","2.30"
"240","2.28"
"241","2.34"
"242","2.23"
"243","2.24"
"244","2.33"
"245","2.35"
"246","2.46"
"247","2.36"
"248","2.28"
"249","2.44"
