"id","avg"
"0","0.97"
"1","0.90"
"2","1.01"
"3","0.91"
"4","1.03"
"5","0.98"
"6","0.96"
"7","0.90"
"8","1.18"
"9","1.02"
"10","0.92"
"11","1.08"
"12","0.91"
"13","0.91"
"14","1.10"
"15","1.13"
"16","0.93"
"17","1.00"
"18","0.92"
"19","0.97"
"20","1.01"
"21","0.96"
"22","0.98"
"23","0.94"
"24","1.02"
"25","0.94"
"26","1.06"
"27","0.94"
"28","1.05"
"29","1.03"
"30","1.20"
"31","0.91"
"32","1.17"
"33","0.92"
"34","1.13"
"35","1.16"
"36","1.00"
"37","0.98"
"38","1.07"
"39","1.01"
"40","1.03"
"41","0.95"
"42","1.01"
"43","0.84"
"44","1.11"
"45","1.05"
"46","1.00"
"47","0.87"
"48","1.39"
"49","1.06"
"50","0.93"
"51","0.92"
"52","1.18"
"53","0.88"
"54","1.00"
"55","1.81"
"56","0.90"
"57","0.94"
"58","1.11"
"59","0.95"
"60","0.99"
"61","1.04"
"62","1.01"
"63","0.99"
"64","0.96"
"65","0.91"
"66","1.14"
"67","1.06"
"68","0.90"
"69","1.02"
"70","0.91"
"71","1.19"
"72","0.93"
"73","0.95"
"74","1.04"
"75","0.88"
"76","1.10"
"77","1.06"
"78","0.98"
"79","0.98"
"80","0.94"
"81","1.34"
"82","0.92"
"83","0.84"
"84","1.20"
"85","0.95"
"86","0.97"
"87","0.96"
"88","1.00"
"89","0.95"
"90","0.95"
"91","0.98"
"92","0.98"
"93","0.91"
"94","1.07"
"95","0.91"
"96","1.17"
"97","0.89"
"98","1.07"
"99","0.93"
"100","1.02"
"101","0.98"
"102","1.06"
"103","0.89"
"104","1.06"
"105","1.08"
"106","0.95"
"107","1.03"
"108","1.15"
"109","1.08"
"110","1.02"
"111","0.97"
"112","1.01"
"113","1.00"
"114","0.96"
"115","0.83"
"116","1.65"
"117","0.89"
"118","1.10"
"119","1.27"
"120","0.86"
"121","0.96"
"122","1.00"
"123","1.15"
"124","0.90"
"125","1.07"
"126","0.98"
"127","0.99"
"128","1.04"
"129","0.97"
"130","1.01"
"131","0.88"
"132","1.12"
"133","0.86"
"134","1.04"
"135","1.14"
"136","0.88"
"137","0.92"
"138","1.04"
"139","1.10"
"140","0.96"
"141","1.06"
"142","0.94"
"143","1.00"
"144","0.94"
"145","0.97"
"146","1.00"
"147","0.98"
"148","1.02"
"149","0.68"
