"0","1.73"
"1","2.04"
"2","1.70"
"3","1.57"
"4","1.66"
"5","1.63"
"6","1.75"
"7","1.79"
"8","1.83"
"9","1.54"
"10","1.85"
"11","1.67"
"12","1.79"
"13","1.64"
"14","1.76"
"15","1.68"
"16","1.75"
"17","1.69"
"18","1.50"
"19","1.61"
"20","1.82"
"21","2.15"
"22","1.46"
"23","1.66"
"24","2.62"
"25","2.02"
"26","1.59"
"27","1.66"
"28","2.38"
"29","2.16"
"30","1.55"
"31","2.39"
"32","1.76"
"33","1.57"
"34","2.74"
"35","1.71"
"36","1.69"
"37","2.06"
"38","1.69"
"39","2.00"
"40","1.77"
"41","1.62"
"42","1.71"
"43","1.91"
"44","1.78"
"45","1.54"
"46","1.83"
"47","1.84"
"48","1.70"
"49","1.74"
"50","1.70"
"51","1.61"
"52","1.81"
"53","1.67"
"54","1.73"
"55","1.81"
"56","1.61"
"57","1.74"
"58","1.91"
"59","1.60"
"60","1.65"
"61","2.02"
"62","1.70"
"63","1.90"
"64","1.82"
"65","1.63"
"66","1.72"
"67","3.95"
"68","1.55"
"69","1.89"
"70","1.59"
"71","1.70"
"72","1.95"
"73","1.92"
"74","1.52"
"75","1.93"
"76","1.67"
"77","2.09"
"78","2.02"
"79","1.66"
"80","1.57"
"81","1.41"
"82","3.50"
"83","1.61"
"84","1.98"
"85","2.00"
"86","1.68"
"87","1.69"
"88","2.08"
"89","1.94"
"90","1.81"
"91","1.43"
"92","2.54"
"93","2.82"
"94","1.19"
"95","1.82"
"96","1.78"
"97","3.27"
"98","1.84"
"99","1.70"
"100","1.72"
"101","1.62"
"102","1.84"
"103","1.88"
"104","1.92"
"105","1.81"
"106","1.84"
"107","1.58"
"108","1.59"
"109","2.02"
"110","1.84"
"111","1.86"
"112","1.89"
"113","1.89"
"114","1.88"
"115","1.96"
"116","1.93"
"117","1.97"
"118","1.55"
"119","1.37"
"120","1.89"
"121","1.97"
"122","1.49"
"123","1.99"
"124","1.67"
"125","2.29"
"126","1.47"
"127","1.91"
"128","1.69"
"129","2.10"
"130","1.54"
"131","1.93"
"132","1.71"
"133","2.06"
"134","1.68"
"135","1.76"
"136","1.64"
"137","1.82"
"138","1.59"
"139","2.28"
"140","1.56"
"141","1.69"
"142","1.81"
"143","2.00"
"144","1.36"
"145","1.42"
"146","1.92"
"147","2.12"
"148","1.54"
"149","1.50"
"150","1.74"
"151","1.68"
"152","1.90"
"153","1.32"
"154","2.42"
"155","1.75"
"156","1.73"
"157","1.35"
"158","2.59"
"159","1.68"
"160","1.72"
"161","1.77"
"162","1.59"
"163","1.84"
"164","1.59"
"165","1.76"
"166","1.58"
"167","2.01"
"168","1.72"
"169","2.93"
"170","1.45"
"171","1.72"
"172","1.62"
"173","2.21"
"174","1.75"
"175","1.49"
"176","2.12"
"177","1.72"
"178","1.80"
"179","1.48"
"180","1.97"
"181","1.36"
"182","1.74"
"183","1.71"
"184","1.65"
"185","1.60"
"186","1.69"
"187","1.45"
"188","1.53"
"189","1.65"
"190","1.49"
"191","1.89"
"192","1.60"
"193","1.74"
"194","1.46"
"195","1.59"
"196","1.49"
"197","1.54"
"198","2.17"
"199","1.58"
"200","1.62"
"201","1.79"
"202","1.52"
"203","2.06"
"204","1.53"
"205","1.59"
"206","1.73"
"207","1.62"
"208","1.59"
"209","1.55"
"210","1.61"
"211","1.64"
"212","1.63"
"213","1.51"
"214","1.49"
"215","1.48"
"216","1.82"
"217","1.43"
"218","1.59"
"219","1.47"
"220","1.82"
"221","1.80"
"222","1.32"
"223","1.41"
"224","1.67"
"225","1.56"
"226","1.85"
"227","1.90"
"228","1.69"
"229","1.49"
"230","1.96"
"231","1.50"
"232","1.53"
"233","1.93"
"234","1.78"
"235","1.67"
"236","1.54"
"237","1.84"
"238","1.68"
"239","1.88"
"240","1.49"
"241","1.34"
"242","1.84"
"243","1.63"
"244","1.70"
"245","2.23"
"246","1.45"
"247","1.51"
"248","1.52"
"249","0.56"
