"id","avg"
"0","0.32"
"1","0.29"
"2","0.45"
"3","0.30"
"4","0.33"
"5","0.31"
"6","0.35"
"7","0.30"
"8","0.40"
"9","0.31"
"10","0.30"
"11","0.30"
"12","0.31"
"13","0.31"
"14","0.30"
"15","0.29"
"16","0.36"
"17","0.34"
"18","0.29"
"19","0.32"
"20","0.30"
"21","0.31"
"22","0.32"
"23","0.42"
"24","0.29"
"25","0.48"
"26","0.30"
"27","0.31"
"28","0.31"
"29","0.51"
"30","0.31"
"31","0.32"
"32","0.38"
"33","0.40"
"34","0.31"
"35","0.31"
"36","0.33"
"37","0.43"
"38","0.29"
"39","0.32"
"40","0.39"
"41","0.32"
"42","0.34"
"43","0.30"
"44","0.31"
"45","0.37"
"46","0.31"
"47","0.31"
"48","0.31"
"49","0.28"
