"id","avg"
"0","1.85"
"1","2.03"
"2","2.00"
"3","1.84"
"4","1.55"
"5","1.85"
"6","1.64"
"7","2.27"
"8","1.68"
"9","1.69"
"10","1.99"
"11","1.25"
"12","3.95"
"13","2.06"
"14","1.89"
"15","1.81"
"16","1.78"
"17","1.80"
"18","2.04"
"19","1.77"
"20","1.50"
"21","1.61"
"22","1.61"
"23","1.82"
"24","1.57"
"25","1.65"
"26","1.78"
"27","1.73"
"28","1.80"
"29","1.55"
"30","1.85"
"31","1.80"
"32","1.87"
"33","1.69"
"34","1.69"
"35","2.39"
"36","1.60"
"37","1.70"
"38","1.78"
"39","1.63"
"40","1.81"
"41","1.73"
"42","1.67"
"43","1.85"
"44","1.71"
"45","1.68"
"46","1.65"
"47","3.01"
"48","1.48"
"49","1.52"
"50","2.09"
"51","1.84"
"52","1.45"
"53","1.92"
"54","1.75"
"55","1.33"
"56","2.24"
"57","1.75"
"58","1.57"
"59","1.86"
"60","1.80"
"61","1.71"
"62","1.87"
"63","1.84"
"64","1.83"
"65","2.27"
"66","1.58"
"67","2.20"
"68","1.64"
"69","1.88"
"70","1.74"
"71","1.62"
"72","2.65"
"73","2.21"
"74","1.44"
"75","1.80"
"76","1.61"
"77","1.96"
"78","1.75"
"79","1.67"
"80","2.02"
"81","1.86"
"82","2.04"
"83","1.60"
"84","2.73"
"85","1.41"
"86","2.32"
"87","1.91"
"88","1.51"
"89","1.62"
"90","1.96"
"91","3.70"
"92","1.60"
"93","1.73"
"94","1.81"
"95","1.51"
"96","2.20"
"97","1.94"
"98","1.86"
"99","2.68"
"100","1.51"
"101","3.46"
"102","1.45"
"103","1.85"
"104","1.95"
"105","1.56"
"106","2.15"
"107","1.84"
"108","1.70"
"109","1.91"
"110","1.70"
"111","2.44"
"112","2.18"
"113","1.77"
"114","3.93"
"115","1.61"
"116","1.78"
"117","2.71"
"118","1.60"
"119","1.84"
"120","1.78"
"121","1.79"
"122","1.66"
"123","1.43"
"124","3.01"
"125","2.16"
"126","2.54"
"127","1.54"
"128","1.92"
"129","1.96"
"130","1.52"
"131","1.82"
"132","1.93"
"133","1.65"
"134","1.84"
"135","1.75"
"136","1.69"
"137","1.77"
"138","1.94"
"139","1.69"
"140","1.90"
"141","1.54"
"142","2.34"
"143","1.83"
"144","1.68"
"145","2.02"
"146","1.69"
"147","1.60"
"148","2.35"
"149","3.19"
"150","1.65"
"151","1.68"
"152","2.06"
"153","1.63"
"154","2.25"
"155","1.66"
"156","2.98"
"157","2.89"
"158","1.67"
"159","2.51"
"160","1.62"
"161","1.83"
"162","1.82"
"163","1.71"
"164","1.74"
"165","1.64"
"166","1.94"
"167","1.85"
"168","1.76"
"169","1.66"
"170","1.87"
"171","1.64"
"172","1.80"
"173","1.78"
"174","1.90"
"175","1.64"
"176","1.77"
"177","1.65"
"178","1.48"
"179","1.97"
"180","1.59"
"181","1.46"
"182","2.07"
"183","1.87"
"184","1.97"
"185","1.44"
"186","2.51"
"187","1.83"
"188","1.84"
"189","1.60"
"190","1.81"
"191","1.60"
"192","2.37"
"193","1.85"
"194","1.73"
"195","1.59"
"196","1.80"
"197","1.82"
"198","2.17"
"199","1.87"
"200","1.76"
"201","1.71"
"202","1.78"
"203","1.52"
"204","2.10"
"205","1.79"
"206","1.72"
"207","2.00"
"208","2.33"
"209","1.54"
"210","2.28"
"211","1.63"
"212","2.03"
"213","1.92"
"214","1.57"
"215","1.78"
"216","1.68"
"217","1.62"
"218","1.74"
"219","1.64"
"220","1.94"
"221","1.97"
"222","1.67"
"223","1.76"
"224","1.67"
"225","1.53"
"226","1.78"
"227","1.71"
"228","1.65"
"229","1.57"
"230","2.39"
"231","1.62"
"232","2.10"
"233","1.58"
"234","2.01"
"235","1.70"
"236","1.75"
"237","1.86"
"238","1.34"
"239","1.83"
"240","1.52"
"241","1.79"
"242","1.73"
"243","1.66"
"244","1.89"
"245","1.62"
"246","1.82"
"247","1.70"
"248","1.79"
"249","0.63"
